date,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2025-02-12,23374.48604854232,782549.349532054,7491.9525,374597.625,12531696.86875
2025-02-13,32404.842420177916,951808.569036556,9996.855,499842.75,14945637.63875
2025-02-14,14736.504968704865,586605.6250250057,5832.5775,291628.875,10320940.1735
2025-02-15,14307.2514485384,607458.1043522898,5390.4800000000005,269524.0,9938158.39425
2025-02-16,10960.21459609253,475285.52893472224,4085.8775,204293.875,7901660.41925
2025-02-17,12183.011172011553,458745.1100840501,4313.1475,215657.375,8060885.99225
2025-02-18,11408.640127931942,498430.984786476,4228.8275,211441.375,8367547.0695
2025-02-19,17532.38686894713,624052.2069576456,5829.425,291471.25,10020944.30675
2025-02-20,9052.746884673012,429410.9305975818,3069.6150000000002,153480.75,7145581.30775
2025-02-21,10101.80308073623,458498.9912751501,3367.31,168365.5,7548359.63125
2025-02-22,6158.135610422133,297531.9843060842,1989.3274999999999,99466.375,4817390.31925
2025-02-23,12206.48305954565,517005.78724254156,4308.07,215403.5,7987162.07775
2025-02-24,22743.71977988247,621626.5774200017,5553.385,277669.25,9878057.1885
2025-02-25,10543.346048068915,492530.2670316533,4205.6525,210282.625,8456187.62575
2025-02-26,8681.088519429715,428299.07826529985,3454.84,172742.0,7789133.14725
2025-02-27,8507.940916102532,408198.51083810756,3285.52,164276.0,7459094.71875
2025-02-28,7940.842275467508,394908.4553402484,3066.7775,153338.875,7325671.27225
2025-03-01,6901.66833378199,338066.1230804916,2569.1,128455.0,6387959.6362499995
2025-03-02,6815.353878765833,322281.7921768152,1821.3775,91068.875,5501967.279
2025-03-03,5479.201989593333,271811.71058628097,1849.5575,92477.875,5098256.417
2025-03-04,3381.081567552806,164983.59029741512,1247.165,62358.24999999999,3109483.32275
2025-03-05,2980.4208738718803,148857.67312165748,1291.645,64582.25,3364503.991
2025-03-06,7828.052930812509,367740.29607611994,3252.65,162632.5,6030310.115
2025-03-07,15950.007082498596,550636.297733891,4921.5225,246076.125,8808516.034
2025-03-08,4035.459527787137,200413.60210906094,1240.2250000000001,62011.25000000001,3786992.4107500003
2025-03-09,1848.8095280856332,91287.85512064082,377.0525,18852.625,1978168.5295
2025-03-10,6009.514653609794,297213.6118796384,1768.78,88439.0,5555486.23675
2025-03-11,12148.208602929564,556432.4023729813,4787.16,239358.0,9295490.70625
2025-03-12,10217.390661671576,485518.44338272285,3927.6325,196381.625,8299591.53075
2025-03-13,5279.756263912694,263987.8131956347,1699.925,84996.25,5356540.726
2025-03-14,10288.906920411158,499440.3501795867,3860.1150000000002,193005.75,8159314.653
2025-03-15,14758.291206594069,518081.5376890778,4463.935,223196.75,8470914.0095
2025-03-16,6140.3143827546555,297682.8174704708,2137.725,106886.25,5147898.6765
2025-03-17,6867.834208942171,297658.87024007377,2140.305,107015.25,5118239.24525
2025-03-18,9802.401709931732,422456.8527890117,3070.1125,153505.625,6991481.1435
2025-03-19,8971.664660507047,331451.04517637286,2594.395,129719.75,6372312.96475
