dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-07-01 11:45:00+00:00,0.25,503.59,587.4,73952.19149999999,0.4225814298030437,215.83698417608923,53.95924604402231,2697.9623022011156,1.0,103.58999999999997,25.897499999999994,1294.8749999999998,6294.874999999998
2024-07-01 12:00:00+00:00,0.25,465.97,455.5,53062.333750000005,0.40365298101213587,199.4103169116904,49.8525792279226,2492.62896139613,1.0,65.97000000000003,16.492500000000007,824.6250000000003,5824.625000000001
2024-07-01 12:15:00+00:00,0.25,396.98,410.5,40740.0725,0.27855650655712205,110.10932850559165,27.527332126397912,1376.3666063198957,0.0,0.0,0.0,0.0,4962.25
2024-07-01 12:30:00+00:00,0.25,390.67,430.7,42065.39225,0.2713926312902255,105.86674460118013,26.466686150295033,1323.3343075147516,0.0,0.0,0.0,0.0,4883.375
2024-07-01 12:45:00+00:00,0.25,450.88,528.1,59527.432,0.36440795982837115,168.01286991815113,42.00321747953778,2100.160873976889,1.0,50.879999999999995,12.719999999999999,636.0,5636.0
2024-07-01 13:00:00+00:00,0.25,450.88,458.1,51637.032,0.3645967453263097,168.1558507484532,42.0389626871133,2101.948134355665,1.0,50.879999999999995,12.719999999999999,636.0,5635.999999999999
2024-07-01 13:15:00+00:00,0.25,393.82,412.4,40602.842,0.2845741381331772,113.73842214968863,28.434605537422158,1421.730276871108,0.0,0.0,0.0,0.0,4922.75
2024-07-01 13:30:00+00:00,0.25,393.82,373.8,36802.479,0.2853768399703043,114.22707382868282,28.556768457170705,1427.8384228585353,0.0,0.0,0.0,0.0,4922.749999999999
2024-07-01 13:45:00+00:00,0.25,447.86,420.7,47103.6755,0.3635415847476908,167.35765805311308,41.83941451327827,2091.9707256639135,1.0,47.860000000000014,11.965000000000003,598.2500000000002,5598.25
2024-07-01 14:00:00+00:00,0.25,451.86,521.4,58899.951,0.37521914672977696,176.32257538367313,44.08064384591828,2204.0321922959142,1.0,51.860000000000014,12.965000000000003,648.2500000000002,5648.250000000001
2024-07-01 14:15:00+00:00,0.25,390.67,473.4,46235.794499999996,0.2399929957045508,88.23491442719319,22.058728606798297,1102.9364303399148,0.0,0.0,0.0,0.0,4883.375
2024-07-01 14:30:00+00:00,0.25,390.67,413.9,40424.57825,0.2399568644144554,88.21550400431366,22.053876001078415,1102.6938000539208,0.0,0.0,0.0,0.0,4883.375
2024-07-01 14:45:00+00:00,0.25,396.98,466.1,46258.09450000001,0.250171609377271,93.78224220482991,23.44556055120748,1172.2780275603739,0.0,0.0,0.0,0.0,4962.25
2024-07-01 15:00:00+00:00,0.25,464.0,513.0,59508.0,0.34718221260909876,155.27514237274508,38.81878559318627,1940.9392796593136,1.0,64.0,16.0,800.0,5800.0
2024-07-01 15:15:00+00:00,0.25,435.47,434.7,47324.70225,0.29588635171871136,120.72530594991939,30.181326487479847,1509.0663243739923,1.0,35.47000000000003,8.867500000000007,443.37500000000034,5443.375
2024-07-01 15:30:00+00:00,0.25,455.97,504.2,57475.018500000006,0.32508176356240714,139.79213494448965,34.94803373612241,1747.4016868061206,1.0,55.97000000000003,13.992500000000007,699.6250000000003,5699.625
2024-07-01 15:45:00+00:00,0.25,497.2,612.2,76096.46,0.38727581800706845,185.8887317234096,46.4721829308524,2323.60914654262,1.0,97.19999999999999,24.299999999999997,1214.9999999999998,6215.0
2024-07-01 16:00:00+00:00,0.25,597.0,634.8,94743.9,0.5363058554813408,336.3787581478868,84.0946895369717,4204.734476848585,1.0,197.0,49.25,2462.5,7462.500000000001
2024-07-01 16:15:00+00:00,0.25,841.0,800.0,168200.0,0.7879712159407718,875.2124544881735,218.80311362204338,10512.5,1.0,441.0,110.25,5512.5,10512.5
2024-07-01 16:30:00+00:00,0.25,846.0,666.3,140922.44999999998,0.7981919977630498,914.5233823434348,228.6308455858587,10574.999999999998,1.0,446.0,111.5,5575.0,10574.999999999998
2024-07-01 16:45:00+00:00,0.25,1199.32,800.0,239864.0,0.9386487178936272,2051.667013823447,512.9167534558618,14991.500000000002,1.0,799.3199999999999,199.82999999999998,9991.5,14991.5
2024-07-01 17:00:00+00:00,0.25,1199.32,800.0,239864.0,0.9516522118380907,2324.9148860361515,581.2287215090379,14991.5,1.0,799.3199999999999,199.82999999999998,9991.5,14991.5
2024-07-01 17:15:00+00:00,0.25,1349.62,800.0,269924.0,0.9419672060192662,2114.0251412220896,528.5062853055224,16870.25,1.0,949.6199999999999,237.40499999999997,11870.249999999998,16870.25
2024-07-01 17:30:00+00:00,0.25,1349.62,800.0,269924.0,0.9789945446144033,3413.451900622862,853.3629751557155,16870.25,1.0,949.6199999999999,237.40499999999997,11870.249999999998,16870.25
2024-07-01 17:45:00+00:00,0.25,1349.62,800.0,269924.0,0.9867725649599323,4112.833176301915,1028.2082940754788,16870.25,1.0,949.6199999999999,237.40499999999997,11870.249999999998,16870.25
2024-07-01 18:00:00+00:00,0.25,1349.62,800.0,269924.0,0.9925439011502419,5083.2759680185445,1270.8189920046361,16870.25,1.0,949.6199999999999,237.40499999999997,11870.249999999998,16870.25
2024-07-01 18:15:00+00:00,0.25,1454.17,800.0,290834.0,0.9958046531875471,6181.3021207185,1545.325530179625,18177.125,1.0,1054.17,263.5425,13177.125,18177.125
2024-07-01 18:30:00+00:00,0.25,1454.17,800.0,290834.0,0.9957958345512591,6177.053031379662,1544.2632578449154,18177.125,1.0,1054.17,263.5425,13177.125,18177.125
2024-07-01 18:45:00+00:00,0.25,1454.17,800.0,290834.0,0.9959752949281325,6265.701225882775,1566.4253064706938,18177.125,1.0,1054.17,263.5425,13177.125,18177.125
2024-07-01 19:00:00+00:00,0.25,1454.17,800.0,290834.0,0.9962455920123119,6408.596282225153,1602.1490705562883,18177.125,1.0,1054.17,263.5425,13177.125,18177.125
2024-07-01 19:15:00+00:00,0.25,1124.36,800.0,224871.99999999997,0.9653743212908963,2735.4547664931,683.863691623275,14054.499999999998,1.0,724.3599999999999,181.08999999999997,9054.499999999998,14054.499999999998
2024-07-01 19:30:00+00:00,0.25,1124.36,800.0,224871.99999999997,0.9597343716641848,2545.8075307665385,636.4518826916346,14054.499999999998,1.0,724.3599999999999,181.08999999999997,9054.499999999998,14054.499999999998
2024-07-01 19:45:00+00:00,0.25,1124.36,800.0,224871.99999999997,0.9589186149205374,2521.1099522045497,630.2774880511374,14054.499999999998,1.0,724.3599999999999,181.08999999999997,9054.499999999998,14054.499999999998
2024-07-01 20:00:00+00:00,0.25,1124.36,800.0,224871.99999999997,0.9228181472771567,1803.3041577484219,450.82603943710546,14054.499999999998,1.0,724.3599999999999,181.08999999999997,9054.499999999998,14054.499999999998
2024-07-01 20:15:00+00:00,0.25,824.52,800.0,164904.0,0.8005915203124723,924.1333135116895,231.03332837792237,10306.5,1.0,424.52,106.13,5306.5,10306.5
2024-07-01 20:30:00+00:00,0.25,824.52,800.0,164904.0,0.8103625129731216,964.8913600191904,241.2228400047976,10306.5,1.0,424.52,106.13,5306.5,10306.5
2024-07-01 20:45:00+00:00,0.25,824.52,800.0,164904.0,0.7478790423329305,742.2741840143442,185.56854600358605,9278.427300179303,1.0,424.52,106.13,5306.5,10306.5
2024-07-01 21:00:00+00:00,0.25,824.52,800.0,164904.0,0.7043666526485115,626.7829842425541,156.69574606063853,7834.787303031926,1.0,424.52,106.13,5306.5,10306.5
2024-07-01 21:15:00+00:00,0.25,604.64,624.1,94338.956,0.6263644515029221,468.862660325128,117.215665081282,5860.7832540641,1.0,204.64,51.16,2558.0,7558.0
2024-07-01 21:30:00+00:00,0.25,604.64,619.9,93704.08399999999,0.6075603180062428,437.6001079662527,109.40002699156318,5470.001349578159,1.0,204.64,51.16,2558.0,7557.999999999999
2024-07-01 21:45:00+00:00,0.25,604.64,550.8,83258.92799999999,0.5410119036689999,342.3398802976618,85.58497007441545,4279.2485037207725,1.0,204.64,51.16,2558.0,7558.0
2024-07-01 22:00:00+00:00,0.25,481.0,528.5,63552.125,0.41876821927721586,212.45633582850263,53.11408395712566,2655.704197856283,1.0,81.0,20.25,1012.5,6012.5
2024-07-01 22:15:00+00:00,0.25,717.4,785.5,140879.425,0.70754534706658,634.4193030854938,158.60482577137344,7930.241288568672,1.0,317.4,79.35,3967.4999999999995,8967.499999999998
2024-07-01 22:30:00+00:00,0.25,717.4,765.9,137364.16499999998,0.7034327590989182,624.5607276010313,156.14018190025783,7807.0090950128915,1.0,317.4,79.35,3967.4999999999995,8967.5
2024-07-01 22:45:00+00:00,0.25,717.4,747.6,134082.06,0.6521803016909825,515.6123870460667,128.90309676151668,6445.154838075834,1.0,317.4,79.35,3967.4999999999995,8967.499999999998
