dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,cap_revenue_band_2,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-07-09 11:00:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 11:15:00+00:00,271.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3392.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 11:30:00+00:00,271.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3392.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 11:45:00+00:00,271.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3392.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 12:00:00+00:00,271.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3392.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 12:15:00+00:00,298.11,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3726.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 12:30:00+00:00,275.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3442.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 12:45:00+00:00,275.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3442.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 13:00:00+00:00,275.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3442.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 13:15:00+00:00,254.6,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3182.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 13:30:00+00:00,254.6,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3182.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 13:45:00+00:00,231.88,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2898.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 14:00:00+00:00,254.6,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3182.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 14:15:00+00:00,169.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2117.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 14:30:00+00:00,169.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2117.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 14:45:00+00:00,59.9,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,748.75,748.75,1,-2.007542897379158,0.9805527123848515,-50.0,746.7424571026208
2024-07-09 15:00:00+00:00,169.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2117.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 15:15:00+00:00,111.97,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1399.625,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 15:30:00+00:00,111.97,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1399.625,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 15:45:00+00:00,93.8,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1172.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 16:00:00+00:00,1000.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,12500.0,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 16:15:00+00:00,39.9,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,498.75,498.75,1,-2.007542897379158,0.9805527123848515,-50.0,496.74245710262085
2024-07-09 16:30:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 16:45:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 17:00:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 17:15:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 17:30:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 17:45:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 18:00:00+00:00,10.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,125.0,125.0,1,-2.007542897379158,0.9805527123848515,-50.0,122.99245710262085
2024-07-09 18:15:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 18:30:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 18:45:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 19:00:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 19:15:00+00:00,10.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,125.0,125.0,1,-2.007542897379158,0.9805527123848515,-50.0,122.99245710262085
2024-07-09 19:30:00+00:00,10.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,125.0,125.0,1,-2.007542897379158,0.9805527123848515,-50.0,122.99245710262085
2024-07-09 19:45:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 20:00:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 20:15:00+00:00,89.04,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1113.0,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 20:30:00+00:00,69.04,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,863.0000000000001,863.0000000000001,1,-2.007542897379158,0.9805527123848515,-50.0,860.992457102621
2024-07-09 20:45:00+00:00,69.04,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,863.0000000000001,863.0000000000001,1,-2.007542897379158,0.9805527123848515,-50.0,860.992457102621
2024-07-09 21:00:00+00:00,69.04,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,863.0000000000001,863.0000000000001,1,-2.007542897379158,0.9805527123848515,-50.0,860.992457102621
2024-07-09 21:15:00+00:00,78.17,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,977.125,977.125,1,-2.007542897379158,0.9805527123848515,-50.0,975.1174571026208
2024-07-09 21:30:00+00:00,77.64,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,970.5,970.5,1,-2.007542897379158,0.9805527123848515,-50.0,968.4924571026208
2024-07-09 21:45:00+00:00,77.64,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,970.5,970.5,1,-2.007542897379158,0.9805527123848515,-50.0,968.4924571026208
2024-07-09 22:00:00+00:00,78.17,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,977.125,977.125,1,-2.007542897379158,0.9805527123848515,-50.0,975.1174571026208
2024-07-09 22:15:00+00:00,1000.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,12500.0,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 22:30:00+00:00,1000.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,12500.0,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 22:45:00+00:00,134.83,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1685.3750000000002,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 23:00:00+00:00,143.87,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1798.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 23:15:00+00:00,195.29,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2441.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 23:30:00+00:00,195.29,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2441.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 23:45:00+00:00,195.29,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2441.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 00:00:00+00:00,195.29,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2441.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 00:15:00+00:00,211.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2641.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 00:30:00+00:00,201.8,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2522.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 00:45:00+00:00,201.8,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2522.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 01:00:00+00:00,201.8,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2522.5,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 01:15:00+00:00,213.83,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2672.875,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 01:30:00+00:00,182.09,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2276.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 01:45:00+00:00,182.09,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2276.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 02:00:00+00:00,182.09,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2276.125,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 02:15:00+00:00,215.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2692.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 02:30:00+00:00,215.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2692.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 02:45:00+00:00,215.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2692.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 03:00:00+00:00,215.38,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2692.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 03:15:00+00:00,216.5,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2706.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 03:30:00+00:00,216.5,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2706.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 03:45:00+00:00,216.5,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2706.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-10 04:00:00+00:00,1000.0,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,12500.0,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
