dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-07-10 00:45:00+00:00,201.8,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3783.75,1635.9816490605708,0,13.913285472949783,0.9672466734902764,164.86,1649.8949345335207
2024-07-10 01:00:00+00:00,201.8,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3783.75,1635.9816490605708,0,9.894417013518332,0.9672466734902764,117.24,1645.876066074089
2024-07-10 01:15:00+00:00,213.83,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4009.3125000000005,1635.9816490605708,0,11.45824802051675,0.9672466734902764,135.76999999999998,1647.4398970810876
2024-07-10 01:30:00+00:00,182.09,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3414.1875,1635.9816490605708,0,10.951880721974359,0.9672466734902764,129.76999999999998,1646.933529782545
2024-07-10 01:45:00+00:00,182.09,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3414.1875,1635.9816490605708,0,13.493844560657164,0.9672466734902764,159.89,1649.475493621228
2024-07-10 02:00:00+00:00,182.09,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3414.1875,1635.9816490605708,0,17.033351977468485,0.9672466734902764,201.83,1653.0150010380394
2024-07-10 02:15:00+00:00,215.38,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4038.375,1635.9816490605708,0,10.582232594038414,0.9672466734902764,125.39,1646.5638816546093
2024-07-10 02:30:00+00:00,215.38,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4038.375,1635.9816490605708,0,10.669158980288191,0.9672466734902764,126.42,1646.650808040859
2024-07-10 02:45:00+00:00,215.38,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4038.375,1635.9816490605708,0,13.904846017974073,0.9672466734902764,164.76,1649.8864950785448
2024-07-10 03:00:00+00:00,215.38,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4038.375,1635.9816490605708,0,13.60355747534135,0.9672466734902764,161.19,1649.5852065359122
