dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-08 21:15:00+00:00,56.2,400.0,50.0,1106.1623899157923,1106.1623899157923,702.5,702.5,1,702.5
2024-07-08 21:30:00+00:00,56.2,400.0,50.0,1106.1623899157923,1106.1623899157923,702.5,702.5,1,702.5
2024-07-08 21:45:00+00:00,56.2,400.0,50.0,1106.1623899157923,1106.1623899157923,702.5,702.5,1,702.5
2024-07-08 22:00:00+00:00,56.2,400.0,50.0,1106.1623899157923,1106.1623899157923,702.5,702.5,1,702.5
2024-07-08 22:15:00+00:00,74.52,400.0,50.0,1106.1623899157923,1106.1623899157923,931.5,931.5,1,931.5
2024-07-08 22:30:00+00:00,74.52,400.0,50.0,1106.1623899157923,1106.1623899157923,931.5,931.5,1,931.5
2024-07-08 22:45:00+00:00,74.52,400.0,50.0,1106.1623899157923,1106.1623899157923,931.5,931.5,1,931.5
2024-07-08 23:00:00+00:00,74.52,400.0,50.0,1106.1623899157923,1106.1623899157923,931.5,931.5,1,931.5
2024-07-08 23:15:00+00:00,148.2,400.0,50.0,1106.1623899157923,1106.1623899157923,1852.4999999999998,1106.1623899157923,0,1106.1623899157923
2024-07-08 23:30:00+00:00,148.2,400.0,50.0,1106.1623899157923,1106.1623899157923,1852.4999999999998,1106.1623899157923,0,1106.1623899157923
2024-07-08 23:45:00+00:00,148.2,400.0,50.0,1106.1623899157923,1106.1623899157923,1852.4999999999998,1106.1623899157923,0,1106.1623899157923
2024-07-09 00:00:00+00:00,148.2,400.0,50.0,1106.1623899157923,1106.1623899157923,1852.4999999999998,1106.1623899157923,0,1106.1623899157923
2024-07-09 00:15:00+00:00,157.38,400.0,50.0,1106.1623899157923,1106.1623899157923,1967.25,1106.1623899157923,0,1106.1623899157923
2024-07-09 00:30:00+00:00,157.38,400.0,50.0,1106.1623899157923,1106.1623899157923,1967.25,1106.1623899157923,0,1106.1623899157923
2024-07-09 00:45:00+00:00,157.38,400.0,50.0,1106.1623899157923,1106.1623899157923,1967.25,1106.1623899157923,0,1106.1623899157923
2024-07-09 01:00:00+00:00,157.38,400.0,50.0,1106.1623899157923,1106.1623899157923,1967.25,1106.1623899157923,0,1106.1623899157923
2024-07-09 01:15:00+00:00,159.38,400.0,50.0,1106.1623899157923,1106.1623899157923,1992.25,1106.1623899157923,0,1106.1623899157923
2024-07-09 01:30:00+00:00,113.59,400.0,50.0,1106.1623899157923,1106.1623899157923,1419.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 01:45:00+00:00,113.59,400.0,50.0,1106.1623899157923,1106.1623899157923,1419.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 02:00:00+00:00,113.59,400.0,50.0,1106.1623899157923,1106.1623899157923,1419.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 02:15:00+00:00,108.79,400.0,50.0,1106.1623899157923,1106.1623899157923,1359.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 02:30:00+00:00,108.79,400.0,50.0,1106.1623899157923,1106.1623899157923,1359.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 02:45:00+00:00,108.79,400.0,50.0,1106.1623899157923,1106.1623899157923,1359.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 03:00:00+00:00,108.79,400.0,50.0,1106.1623899157923,1106.1623899157923,1359.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 03:15:00+00:00,97.19,400.0,50.0,1106.1623899157923,1106.1623899157923,1214.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 03:30:00+00:00,97.19,400.0,50.0,1106.1623899157923,1106.1623899157923,1214.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 03:45:00+00:00,97.19,400.0,50.0,1106.1623899157923,1106.1623899157923,1214.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 04:00:00+00:00,97.19,400.0,50.0,1106.1623899157923,1106.1623899157923,1214.875,1106.1623899157923,0,1106.1623899157923
2024-07-09 04:15:00+00:00,63.06,400.0,50.0,1106.1623899157923,1106.1623899157923,788.25,788.25,1,788.25
2024-07-09 04:30:00+00:00,63.06,400.0,50.0,1106.1623899157923,1106.1623899157923,788.25,788.25,1,788.25
2024-07-09 04:45:00+00:00,63.06,400.0,50.0,1106.1623899157923,1106.1623899157923,788.25,788.25,1,788.25
2024-07-09 05:00:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-09 05:15:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-09 05:30:00+00:00,98.77,400.0,50.0,1106.1623899157923,1106.1623899157923,1234.625,1106.1623899157923,0,1106.1623899157923
2024-07-09 05:45:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-09 06:00:00+00:00,98.77,400.0,50.0,1106.1623899157923,1106.1623899157923,1234.625,1106.1623899157923,0,1106.1623899157923
2024-07-09 06:15:00+00:00,37.34,400.0,50.0,1106.1623899157923,1106.1623899157923,466.75000000000006,466.75000000000006,1,466.75000000000006
2024-07-09 06:30:00+00:00,37.34,400.0,50.0,1106.1623899157923,1106.1623899157923,466.75000000000006,466.75000000000006,1,466.75000000000006
2024-07-09 06:45:00+00:00,37.34,400.0,50.0,1106.1623899157923,1106.1623899157923,466.75000000000006,466.75000000000006,1,466.75000000000006
2024-07-09 07:00:00+00:00,37.34,400.0,50.0,1106.1623899157923,1106.1623899157923,466.75000000000006,466.75000000000006,1,466.75000000000006
2024-07-09 07:15:00+00:00,223.39,400.0,50.0,1106.1623899157923,1106.1623899157923,2792.375,1106.1623899157923,0,1106.1623899157923
2024-07-09 07:30:00+00:00,223.39,400.0,50.0,1106.1623899157923,1106.1623899157923,2792.375,1106.1623899157923,0,1106.1623899157923
2024-07-09 07:45:00+00:00,223.39,400.0,50.0,1106.1623899157923,1106.1623899157923,2792.375,1106.1623899157923,0,1106.1623899157923
2024-07-09 08:00:00+00:00,223.39,400.0,50.0,1106.1623899157923,1106.1623899157923,2792.375,1106.1623899157923,0,1106.1623899157923
