dt,mw_procured,Hours_in_interval,mw_available,revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,p_acc_K1
2024-07-03 12:15:00+00:00,400.0,0.25,50.0,1277.6708018917366,1277.6708018917366,187.4,2342.5,1277.6708018917366,0,0.3407122138377964
2024-07-03 12:30:00+00:00,400.0,0.25,50.0,1277.2369758115735,1277.2369758115735,187.4,2342.5,1277.2369758115735,0,0.3405965268830863
2024-07-03 12:45:00+00:00,400.0,0.25,50.0,1271.3764846293734,1271.3764846293734,187.4,2342.5,1271.3764846293734,0,0.3390337292344996
2024-07-03 13:00:00+00:00,400.0,0.25,50.0,1229.1114872838286,1229.1114872838286,187.4,2342.5,1229.1114872838286,0,0.3277630632756876
2024-07-03 13:15:00+00:00,400.0,0.25,50.0,1113.1440109079997,1113.1440109079997,59.75,746.875,746.875,1,0.2968384029087999
2024-07-03 13:30:00+00:00,400.0,0.25,50.0,1113.0133819747073,1113.0133819747073,110.4,1380.0,1113.0133819747073,0,0.2968035685265886
2024-07-03 13:45:00+00:00,400.0,0.25,50.0,1112.5526367426708,1112.5526367426708,59.75,746.875,746.875,1,0.29668070313137884
2024-07-03 14:00:00+00:00,400.0,0.25,50.0,1047.1173272525054,1047.1173272525054,110.4,1380.0,1047.1173272525054,0,0.2792312872673348
2024-07-03 14:15:00+00:00,400.0,0.25,50.0,1290.9953903933622,1290.9953903933622,120.51,1506.375,1290.9953903933622,0,0.3442654374382299
2024-07-03 14:30:00+00:00,400.0,0.25,50.0,1268.9613337153844,1268.9613337153844,87.1,1088.75,1088.75,1,0.33838968899076916
2024-07-03 14:45:00+00:00,400.0,0.25,50.0,1236.2378803068075,1236.2378803068075,87.1,1088.75,1088.75,1,0.32966343474848203
2024-07-03 15:00:00+00:00,400.0,0.25,50.0,947.2837742456711,947.2837742456711,87.1,1088.75,947.2837742456711,0,0.2526090064655123
2024-07-03 15:15:00+00:00,400.0,0.25,50.0,1079.4322363303995,1079.4322363303995,68.89,861.125,861.125,1,0.2878485963547732
