dt,price_pln_per_mw_h,mw_procured,CEN,COR,CSDAC,CEB_SR,Hours_in_interval,T_years,budget_pln_interval,exante_option_value_per_mw,exante_p_accept,exante_pln_per_mw_interval,exante_pln_portfolio_baseline,exante_pln_portfolio_capped
2024-07-01 23:45:00+00:00,149.51,400.0,629.28,0.0,629.28,430.1,0.25,2.8519279032626055e-05,14951.0,49.50999999999999,1.0,12.377499999999998,6188.749999999999,6188.749999999999
2024-07-02 00:00:00+00:00,149.51,400.0,531.0,0.0,629.28,531.0,0.25,2.8519279032626055e-05,14951.0,49.50999999999999,1.0,12.377499999999998,6188.749999999999,6188.749999999999
2024-07-02 00:15:00+00:00,143.84,400.0,509.0,0.0,591.89,509.0,0.25,2.8519279032626055e-05,14384.0,43.84,1.0,10.96,5480.0,5480.0
2024-07-02 00:30:00+00:00,143.84,400.0,591.89,0.0,591.89,426.72,0.25,2.8519279032626055e-05,14384.0,43.84,1.0,10.96,5480.0,5480.0
2024-07-02 00:45:00+00:00,143.84,400.0,591.89,0.0,591.89,401.96,0.25,2.8519279032626055e-05,14384.0,43.84,1.0,10.96,5480.0,5480.0
2024-07-02 01:00:00+00:00,143.84,400.0,507.0,0.0,591.89,507.0,0.25,2.8519279032626055e-05,14384.0,43.84,1.0,10.96,5480.0,5480.0
2024-07-02 01:15:00+00:00,140.99,400.0,555.19,0.0,555.19,430.47,0.25,2.8519279032626055e-05,14099.0,40.99000000000001,1.0,10.247500000000002,5123.750000000001,5123.750000000001
2024-07-02 01:30:00+00:00,140.99,400.0,498.22,0.0,555.19,498.22,0.25,2.8519279032626055e-05,14099.0,40.99000000000001,1.0,10.247500000000002,5123.750000000001,5123.750000000001
2024-07-02 01:45:00+00:00,140.99,400.0,428.44,0.0,555.19,428.44,0.25,2.8519279032626055e-05,14099.0,40.99000000000001,1.0,10.247500000000002,5123.750000000001,5123.750000000001
2024-07-02 02:00:00+00:00,140.99,400.0,427.72,0.0,555.19,427.72,0.25,2.8519279032626055e-05,14099.0,40.99000000000001,1.0,10.247500000000002,5123.750000000001,5123.750000000001
2024-07-02 02:15:00+00:00,134.33,400.0,412.0,0.0,523.55,412.0,0.25,2.8519279032626055e-05,13433.000000000002,34.33000000000001,1.0,8.582500000000003,4291.250000000002,4291.250000000002
2024-07-02 02:30:00+00:00,134.33,400.0,428.44,0.0,523.55,428.44,0.25,2.8519279032626055e-05,13433.000000000002,34.33000000000001,1.0,8.582500000000003,4291.250000000002,4291.250000000002
2024-07-02 02:45:00+00:00,134.33,400.0,413.0,0.0,523.55,413.0,0.25,2.8519279032626055e-05,13433.000000000002,34.33000000000001,1.0,8.582500000000003,4291.250000000002,4291.250000000002
2024-07-02 03:00:00+00:00,134.33,400.0,523.55,0.0,523.55,401.96,0.25,2.8519279032626055e-05,13433.000000000002,34.33000000000001,1.0,8.582500000000003,4291.250000000002,4291.250000000002
2024-07-02 03:15:00+00:00,136.33,400.0,419.0,0.0,537.91,419.0,0.25,2.8519279032626055e-05,13633.000000000002,36.33000000000001,1.0,9.082500000000003,4541.250000000002,4541.250000000002
2024-07-02 03:30:00+00:00,136.33,400.0,327.41,0.0,537.91,327.41,0.25,2.8519279032626055e-05,13633.000000000002,36.33000000000001,1.0,9.082500000000003,4541.250000000002,4541.250000000002
2024-07-02 03:45:00+00:00,136.33,400.0,417.0,0.0,537.91,417.0,0.25,2.8519279032626055e-05,13633.000000000002,36.33000000000001,1.0,9.082500000000003,4541.250000000002,4541.250000000002
2024-07-02 04:00:00+00:00,136.33,400.0,420.0,0.0,537.91,420.0,0.25,2.8519279032626055e-05,13633.000000000002,36.33000000000001,1.0,9.082500000000003,4541.250000000002,4541.250000000002
2024-07-02 04:15:00+00:00,157.84,400.0,146.02,0.0,643.04,146.02,0.25,2.8519279032626055e-05,15784.0,57.84,1.0,14.46,7230.0,7230.0
2024-07-02 04:30:00+00:00,157.84,400.0,562.0,0.0,643.04,562.0,0.25,2.8519279032626055e-05,15784.0,57.84,1.0,14.46,7230.0,7230.0
2024-07-02 04:45:00+00:00,157.84,400.0,643.04,0.0,643.04,500.99,0.25,2.8519279032626055e-05,15784.0,57.84,1.0,14.46,7230.0,7230.0
