dt,mw_procured,Hours_in_interval,mw_available,cap_revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-05 11:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 11:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 12:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 12:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 12:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 12:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 13:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 13:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 13:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 13:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 14:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 14:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 14:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 14:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 15:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 15:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 15:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 15:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 16:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 16:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 16:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,63.37,792.125,792.125,1,792.125
2024-07-05 16:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,63.37,792.125,792.125,1,792.125
2024-07-05 17:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,83.37,1042.125,1042.125,1,1042.125
2024-07-05 17:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,239.19,2989.875,1133.6085891032428,0,1133.6085891032428
2024-07-05 17:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
