dt,price_pln_per_mw_h
2024-07-03 04:45:00+00:00,98.93
2024-07-03 05:00:00+00:00,1000.0
2024-07-03 05:15:00+00:00,125.62
2024-07-03 05:30:00+00:00,85.3
2024-07-03 05:45:00+00:00,85.3
2024-07-03 06:00:00+00:00,85.3
2024-07-03 06:15:00+00:00,79.4
2024-07-03 06:30:00+00:00,79.4
2024-07-03 06:45:00+00:00,79.4
2024-07-03 07:00:00+00:00,1000.0
2024-07-03 07:15:00+00:00,1000.0
2024-07-03 07:30:00+00:00,129.73
2024-07-03 07:45:00+00:00,129.73
2024-07-03 08:00:00+00:00,129.73
2024-07-03 08:15:00+00:00,199.4
2024-07-03 08:30:00+00:00,199.4
2024-07-03 08:45:00+00:00,132.58
2024-07-03 09:00:00+00:00,199.4
2024-07-03 09:15:00+00:00,204.4
2024-07-03 09:30:00+00:00,204.4
2024-07-03 09:45:00+00:00,204.4
2024-07-03 10:00:00+00:00,204.4
2024-07-03 10:15:00+00:00,218.85
2024-07-03 10:30:00+00:00,218.85
2024-07-03 10:45:00+00:00,218.85
2024-07-03 11:00:00+00:00,218.85
2024-07-03 11:15:00+00:00,211.69
2024-07-03 11:30:00+00:00,211.69
2024-07-03 11:45:00+00:00,211.69
2024-07-03 12:00:00+00:00,211.69
2024-07-03 12:15:00+00:00,187.4
2024-07-03 12:30:00+00:00,187.4
2024-07-03 12:45:00+00:00,187.4
2024-07-03 13:00:00+00:00,187.4
2024-07-03 13:15:00+00:00,59.75
2024-07-03 13:30:00+00:00,110.4
2024-07-03 13:45:00+00:00,59.75
2024-07-03 14:00:00+00:00,110.4
2024-07-03 14:15:00+00:00,120.51
2024-07-03 14:30:00+00:00,87.1
2024-07-03 14:45:00+00:00,87.1
2024-07-03 15:00:00+00:00,87.1
2024-07-03 15:15:00+00:00,68.89
2024-07-03 15:30:00+00:00,124.46
2024-07-03 15:45:00+00:00,68.89
2024-07-03 16:00:00+00:00,68.89
2024-07-03 16:15:00+00:00,144.99
2024-07-03 16:30:00+00:00,144.99
2024-07-03 16:45:00+00:00,68.89
2024-07-03 17:00:00+00:00,68.89
2024-07-03 17:15:00+00:00,68.89
2024-07-03 17:30:00+00:00,41.62
2024-07-03 17:45:00+00:00,41.62
2024-07-03 18:00:00+00:00,41.62
2024-07-03 18:15:00+00:00,14.46
2024-07-03 18:30:00+00:00,14.46
2024-07-03 18:45:00+00:00,14.46
2024-07-03 19:00:00+00:00,14.46
2024-07-03 19:15:00+00:00,41.62
2024-07-03 19:30:00+00:00,41.62
2024-07-03 19:45:00+00:00,68.89
2024-07-03 20:00:00+00:00,222.83
2024-07-03 20:15:00+00:00,189.28
2024-07-03 20:30:00+00:00,41.62
2024-07-03 20:45:00+00:00,41.62
2024-07-03 21:00:00+00:00,186.8
2024-07-03 21:15:00+00:00,139.92
2024-07-03 21:30:00+00:00,119.92
2024-07-03 21:45:00+00:00,41.62
2024-07-03 22:00:00+00:00,41.62
2024-07-03 22:15:00+00:00,101.12
2024-07-03 22:30:00+00:00,101.12
2024-07-03 22:45:00+00:00,101.12
2024-07-03 23:00:00+00:00,101.12
2024-07-03 23:15:00+00:00,112.4
2024-07-03 23:30:00+00:00,112.4
